YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,ALLSKY_KT
2010,7,1,10,424.38,13.23,0.66
2010,7,1,11,506.95,14.08,0.71
2010,7,1,12,529.72,14.55,0.74
2010,7,1,13,463.93,14.8,0.73
2010,7,1,14,357.26,14.93,0.7
2010,7,1,15,173.78,14.97,0.55
2010,7,1,16,35.91,14.83,0.38
2010,7,1,17,0.0,14.8,-999.0
2010,7,1,18,0.0,14.62,-999.0
2010,7,1,19,0.0,14.48,-999.0
2010,7,1,20,0.0,14.3,-999.0
2010,7,1,21,0.0,13.76,-999.0
2010,7,1,22,0.0,13.13,-999.0
2010,7,1,23,0.0,12.62,-999.0
2010,7,2,0,0.0,12.22,-999.0
2010,7,2,1,0.0,11.94,-999.0
2010,7,2,2,0.0,11.57,-999.0
2010,7,2,3,0.0,11.25,-999.0
2010,7,2,4,0.0,11.01,-999.0
2010,7,2,5,0.0,10.83,-999.0
2010,7,2,6,0.0,10.62,-999.0
2010,7,2,7,22.8,10.66,0.21
2010,7,2,8,86.18,11.26,0.26
2010,7,2,9,134.45,11.94,0.26
2010,7,2,10,191.31,12.56,0.3
2010,7,2,11,193.05,13.06,0.27
2010,7,2,12,194.66,13.48,0.27
2010,7,2,13,171.28,13.72,0.27
2010,7,2,14,136.02,13.67,0.27
2010,7,2,15,62.36,13.42,0.2
2010,7,2,16,21.06,12.94,0.22
2010,7,2,17,0.0,12.65,-999.0
2010,7,2,18,0.0,12.56,-999.0
2010,7,2,19,0.0,12.46,-999.0
2010,7,2,20,0.0,12.16,-999.0
2010,7,2,21,0.0,11.91,-999.0
2010,7,2,22,0.0,11.59,-999.0
2010,7,2,23,0.0,11.16,-999.0
2010,7,3,0,0.0,10.9,-999.0
2010,7,3,1,0.0,10.79,-999.0
2010,7,3,2,0.0,10.73,-999.0
2010,7,3,3,0.0,10.57,-999.0
2010,7,3,4,0.0,10.51,-999.0
2010,7,3,5,0.0,10.54,-999.0
2010,7,3,6,0.0,10.55,-999.0
2010,7,3,7,35.4,10.62,0.32
2010,7,3,8,149.95,11.32,0.45
2010,7,3,9,279.6,12.01,0.54
2010,7,3,10,411.14,12.8,0.63
2010,7,3,11,495.01,13.55,0.69
2010,7,3,12,498.27,14.19,0.7
2010,7,3,13,440.85,14.65,0.69
2010,7,3,14,345.88,14.83,0.68
2010,7,3,15,185.55,14.73,0.57
2010,7,3,16,39.38,14.09,0.41
2010,7,3,17,0.0,13.74,-999.0
2010,7,3,18,0.0,13.7,-999.0
2010,7,3,19,0.0,13.61,-999.0
2010,7,3,20,0.0,13.39,-999.0
2010,7,3,21,0.0,13.11,-999.0
2010,7,3,22,0.0,12.94,-999.0
2010,7,3,23,0.0,12.8,-999.0
2010,7,4,0,0.0,12.6,-999.0
2010,7,4,1,0.0,12.3,-999.0
2010,7,4,2,0.0,12.07,-999.0
2010,7,4,3,0.0,11.87,-999.0
2010,7,4,4,0.0,11.48,-999.0
2010,7,4,5,0.0,11.12,-999.0
2010,7,4,6,0.0,10.94,-999.0
2010,7,4,7,32.49,11.3,0.3
2010,7,4,8,151.91,12.53,0.45
2010,7,4,9,284.91,13.65,0.55
2010,7,4,10,384.53,14.63,0.59
2010,7,4,11,403.39,15.36,0.56
2010,7,4,12,367.23,15.79,0.52
2010,7,4,13,310.56,15.87,0.48
2010,7,4,14,265.52,15.86,0.52
2010,7,4,15,148.19,15.67,0.45
2010,7,4,16,32.11,15.15,0.33
2010,7,4,17,0.0,14.87,-999.0
2010,7,4,18,0.0,14.77,-999.0
2010,7,4,19,0.0,14.74,-999.0
2010,7,4,20,0.0,14.7,-999.0
2010,7,4,21,0.0,14.65,-999.0
2010,7,4,22,0.0,14.58,-999.0
2010,7,4,23,0.0,14.45,-999.0
2010,7,5,0,0.0,14.27,-999.0
2010,7,5,1,0.0,13.98,-999.0
2010,7,5,2,0.0,13.49,-999.0
2010,7,5,3,0.0,13.01,-999.0
2010,7,5,4,0.0,12.71,-999.0
2010,7,5,5,0.0,12.62,-999.0
2010,7,5,6,0.0,12.52,-999.0
2010,7,5,7,26.16,12.74,0.23
2010,7,5,8,96.26,13.69,0.28
2010,7,5,9,194.09,14.32,0.38
2010,7,5,10,245.83,14.61,0.38
2010,7,5,11,306.22,14.73,0.42
2010,7,5,12,285.47,14.84,0.4
2010,7,5,13,158.56,14.87,0.24
2010,7,5,14,161.81,14.69,0.31
2010,7,5,15,55.65,14.43,0.17
2010,7,5,16,17.84,14.32,0.18
2010,7,5,17,0.0,14.45,-999.0
2010,7,5,18,0.0,14.5,-999.0
2010,7,5,19,0.0,14.48,-999.0
2010,7,5,20,0.0,14.36,-999.0
2010,7,5,21,0.0,14.17,-999.0
2010,7,5,22,0.0,14.1,-999.0
2010,7,5,23,0.0,14.11,-999.0
2010,7,6,0,0.0,14.12,-999.0
2010,7,6,1,0.0,14.3,-999.0
2010,7,6,2,0.0,14.16,-999.0
2010,7,6,3,0.0,13.88,-999.0
2010,7,6,4,0.0,13.73,-999.0
2010,7,6,5,0.0,13.71,-999.0
2010,7,6,6,0.0,13.7,-999.0
2010,7,6,7,18.98,13.71,0.17
2010,7,6,8,85.05,13.96,0.25
2010,7,6,9,147.17,13.95,0.28
2010,7,6,10,216.65,14.44,0.33
2010,7,6,11,318.93,15.08,0.45
2010,7,6,12,317.2,15.45,0.44
2010,7,6,13,326.35,15.62,0.5
2010,7,6,14,237.6,15.61,0.46
2010,7,6,15,125.13,15.47,0.38
2010,7,6,16,27.76,14.87,0.27
2010,7,6,17,0.0,14.47,-999.0
2010,7,6,18,0.0,14.42,-999.0
2010,7,6,19,0.0,14.32,-999.0
2010,7,6,20,0.0,14.44,-999.0
2010,7,6,21,0.0,14.64,-999.0
2010,7,6,22,0.0,14.7,-999.0
2010,7,6,23,0.0,14.84,-999.0
2010,7,7,0,0.0,14.98,-999.0
2010,7,7,1,0.0,14.74,-999.0
2010,7,7,2,0.0,14.66,-999.0
2010,7,7,3,0.0,14.57,-999.0
2010,7,7,4,0.0,14.47,-999.0
2010,7,7,5,0.0,14.38,-999.0
2010,7,7,6,0.0,14.33,-999.0
2010,7,7,7,21.67,14.39,0.2
2010,7,7,8,69.78,14.47,0.2
2010,7,7,9,187.52,14.69,0.36
2010,7,7,10,221.76,15.15,0.34
2010,7,7,11,275.76,15.63,0.38
2010,7,7,12,262.14,15.91,0.36
2010,7,7,13,219.09,15.91,0.34
