YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,ALLSKY_KT
2010,7,1,10,424.38,10.36,0.66
2010,7,1,11,506.95,12.05,0.71
2010,7,1,12,529.72,13.04,0.74
2010,7,1,13,463.93,13.56,0.73
2010,7,1,14,357.26,13.87,0.7
2010,7,1,15,173.78,13.79,0.55
2010,7,1,16,35.91,13.37,0.38
2010,7,1,17,0.0,12.94,-999.0
2010,7,1,18,0.0,12.54,-999.0
2010,7,1,19,0.0,12.16,-999.0
2010,7,1,20,0.0,11.69,-999.0
2010,7,1,21,0.0,11.05,-999.0
2010,7,1,22,0.0,10.32,-999.0
2010,7,1,23,0.0,9.62,-999.0
2010,7,2,0,0.0,8.87,-999.0
2010,7,2,1,0.0,8.42,-999.0
2010,7,2,2,0.0,7.85,-999.0
2010,7,2,3,0.0,7.51,-999.0
2010,7,2,4,0.0,7.58,-999.0
2010,7,2,5,0.0,7.64,-999.0
2010,7,2,6,0.0,7.48,-999.0
2010,7,2,7,22.8,7.53,0.21
2010,7,2,8,86.18,8.29,0.26
2010,7,2,9,134.45,9.41,0.26
2010,7,2,10,191.31,10.72,0.3
2010,7,2,11,193.05,11.78,0.27
2010,7,2,12,194.66,12.18,0.27
2010,7,2,13,171.28,12.16,0.27
2010,7,2,14,136.02,12.03,0.27
2010,7,2,15,62.36,11.67,0.2
2010,7,2,16,21.06,10.87,0.22
2010,7,2,17,0.0,10.01,-999.0
2010,7,2,18,0.0,9.71,-999.0
2010,7,2,19,0.0,9.59,-999.0
2010,7,2,20,0.0,9.22,-999.0
2010,7,2,21,0.0,8.94,-999.0
2010,7,2,22,0.0,8.66,-999.0
2010,7,2,23,0.0,8.35,-999.0
2010,7,3,0,0.0,8.11,-999.0
2010,7,3,1,0.0,8.01,-999.0
2010,7,3,2,0.0,7.94,-999.0
2010,7,3,3,0.0,7.83,-999.0
2010,7,3,4,0.0,7.67,-999.0
2010,7,3,5,0.0,7.56,-999.0
2010,7,3,6,0.0,7.37,-999.0
2010,7,3,7,35.4,7.33,0.32
2010,7,3,8,149.95,8.43,0.45
2010,7,3,9,279.6,9.98,0.54
2010,7,3,10,411.14,11.39,0.63
2010,7,3,11,495.01,12.41,0.69
2010,7,3,12,498.27,13.07,0.7
2010,7,3,13,440.85,13.46,0.69
2010,7,3,14,345.88,13.55,0.68
2010,7,3,15,185.55,13.3,0.57
